0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.386,2.474,-0.68,-1.647,-0.774,1.895,3.293,1.819,0.291,-0.913,2.434,2.807,-0.545,-1.504,0.067,-0.706,-2.906,2.538,1.591,-2.745,3.364,-0.888
-2.175,-0.603,-1.192,0.404,-0.261,4.454,-2.858,-1.256,-2.271,-0.4,1.407,0.755,-0.032,1.059,0.067,-2.242,-3.415,3.56,-1.484,-0.181,1.824,2.187
-1.661,1.447,1.371,-0.108,0.252,0.864,2.78,-1.767,0.805,-3.474,0.894,-1.295,-0.545,1.058,1.092,-0.703,-0.85,-1.054,-1.995,0.844,-1.252,0.648
0.39,0.934,1.882,-0.621,0.252,-1.186,5.851,3.358,1.316,-2.958,0.893,1.78,-0.544,-2.017,-0.959,1.86,1.712,-0.54,1.593,-1.206,-1.763,-1.402
-0.123,-0.604,0.856,2.966,-0.261,2.913,-1.327,1.305,1.315,-0.906,1.404,1.266,0.481,0.547,0.067,-0.191,2.223,1.509,0.567,-0.181,-3.81,1.673
-2.172,2.982,-0.17,1.426,-0.261,3.423,0.724,-4.332,2.338,-1.417,-1.159,-0.784,2.018,1.058,1.091,-3.777,1.708,-1.566,-1.483,0.844,-6.368,2.184
0.392,1.443,-1.707,-2.161,-0.773,0.345,3.284,-1.766,-1.25,-0.903,-2.695,1.778,1.503,-1.504,-1.984,-0.7,1.194,-3.101,-2.506,-0.181,-2.776,-0.38
2.441,-3.17,-3.754,1.939,-0.772,1.37,-1.842,1.31,-0.224,-0.903,0.894,0.752,-0.547,-0.478,0.068,2.375,1.193,1.0,-1.991,-1.206,1.838,-1.916
0.389,-1.63,-2.726,2.45,-0.259,1.881,0.209,-1.765,5.411,-1.414,0.381,-2.835,0.99,-0.99,3.141,-0.189,-0.857,3.561,0.06,-2.229,-0.213,-1.914
0.901,-1.116,-0.162,-3.188,-2.82,-2.22,1.746,-2.788,2.844,0.124,-2.181,-1.296,0.989,-0.989,-0.96,-2.238,-0.857,0.483,-1.989,-3.764,-2.774,-1.4
3.462,-2.139,0.351,-1.136,-5.379,-2.218,-2.867,-1.248,-1.257,1.661,0.895,0.755,-0.549,3.623,-3.521,-1.211,1.193,-1.566,-4.036,-2.223,0.302,-0.887
1.921,0.937,-0.674,1.939,0.262,-0.166,0.722,-0.223,2.33,-0.902,1.407,-1.807,2.013,2.595,0.069,-1.21,-0.857,-0.54,0.579,-1.196,1.327,0.139
-1.155,0.424,-1.698,0.4,4.36,-0.678,3.283,0.802,2.84,-3.463,-2.693,-2.318,3.548,-0.482,0.581,-0.184,-1.368,-0.54,4.164,-2.22,-0.724,1.163
1.92,-3.163,-2.209,1.425,-0.255,-1.702,-1.331,0.289,-0.749,-2.947,-1.154,-1.291,-1.579,3.617,-1.981,2.377,3.756,-1.051,1.598,-1.705,1.326,-0.375
3.968,0.426,0.355,0.399,-1.792,-1.7,-1.33,0.289,1.814,-1.919,1.921,0.247,-1.065,2.589,-0.442,3.4,1.191,-1.05,0.572,0.858,3.886,-2.424
-0.135,5.037,0.867,-2.676,3.333,-1.186,-0.304,2.338,2.324,-1.405,1.919,0.759,4.059,-2.537,1.608,3.396,-4.446,-0.537,0.572,2.394,0.296,-1.396
-3.208,2.47,-3.745,0.913,2.305,-0.161,-1.328,1.823,-1.777,-0.379,0.893,-0.778,2.006,0.54,-0.955,2.368,-1.88,-1.049,0.059,0.343,-2.266,-0.37
-1.668,-0.094,-4.253,1.937,-1.796,-0.16,2.26,0.284,-2.287,-0.891,0.38,0.247,-2.094,3.613,-3.004,0.317,0.684,-1.56,1.083,-3.756,0.81,-1.395
-0.13,0.931,-1.175,-1.651,-1.794,0.864,2.257,0.284,2.326,-3.452,0.379,3.321,-0.555,-1.001,-4.025,0.316,-0.342,-2.071,0.058,-2.216,0.81,-0.881
-0.13,2.467,-2.198,0.912,-0.255,1.888,-1.843,1.308,4.373,-2.424,0.891,-0.269,0.47,-2.025,-2.484,1.341,1.708,-2.069,0.058,2.397,-1.24,1.681
-1.154,1.952,-2.196,0.911,-1.279,-0.163,0.72,2.844,1.807,1.165,0.378,-3.855,-2.092,1.563,-0.945,1.339,3.243,-2.067,2.107,2.395,1.322,2.192
-1.665,-1.124,-0.657,-1.139,-2.303,-1.7,2.256,2.329,-1.269,3.213,1.402,-1.802,-2.602,1.049,-0.432,-0.199,3.752,-2.065,0.568,-0.169,2.346,-0.884
-0.639,-2.147,-1.169,2.448,-2.813,-0.161,-1.845,-0.747,-1.267,3.21,1.913,-0.263,-0.038,-1.001,0.593,-0.711,2.211,0.499,-1.994,-0.169,-0.731,-1.908
-0.638,0.929,-0.655,2.446,-2.298,0.351,-0.306,0.278,1.808,1.67,-0.138,-1.287,2.523,0.025,1.617,0.827,-1.889,0.498,0.569,0.344,0.295,1.168
-2.687,1.44,1.907,-0.631,-0.246,0.351,1.231,1.302,0.781,0.131,0.887,-1.798,0.472,1.049,-0.434,3.387,-0.863,-2.576,1.593,-0.169,1.319,0.655
-1.147,-0.611,0.88,2.956,0.779,1.375,-1.844,-0.748,-3.83,0.643,2.423,-1.797,-1.578,0.024,-2.995,2.872,1.187,-2.573,-0.458,-0.681,-1.756,-2.932
0.391,-0.61,-0.657,4.49,0.266,0.861,-0.305,-2.797,-1.265,0.13,-0.141,-1.282,0.985,-1.001,-0.43,1.844,-1.888,-1.034,0.055,-0.68,-2.267,0.657
-1.147,0.415,0.88,0.387,0.778,-0.164,4.306,-1.769,5.396,-2.431,-0.141,-0.769,1.496,0.537,3.669,1.33,0.676,-1.545,-0.97,1.37,0.297,2.705
-1.658,1.952,-0.145,0.899,0.777,0.348,2.253,-0.743,1.805,-1.917,2.421,-1.793,-2.091,2.073,2.128,1.329,5.286,0.506,-0.969,2.393,-1.24,-0.883
-1.656,1.438,-3.219,0.386,-2.298,1.885,-0.823,-1.254,-2.296,-0.89,2.931,-1.791,-0.552,0.022,-0.435,0.303,0.158,1.53,2.106,0.854,-1.239,-0.883
-2.167,-2.15,-2.704,-4.225,-2.295,0.859,-0.31,-1.253,2.83,-1.914,1.903,-1.277,3.034,-3.052,2.127,-0.21,0.157,-1.033,0.055,-0.172,0.812,2.704
