0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-45.051,-40.659,-75.846,-43.898,-30.877,-24.503,-44.782,-33.664,-36.211,-34.791,-27.011,-39.514,-29.184,-30.759,-30.846,-54.833,-39.718,-42.374,-38.647,-42.773,-39.539,-51.472
-53.715,-43.18,-78.331,-53.588,-36.994,-30.114,-46.274,-36.192,-38.736,-38.854,-32.619,-42.036,-30.18,-33.29,-36.451,-50.68,-34.043,-34.134,-38.096,-39.656,-39.5,-51.933
-47.514,-34.94,-70.056,-51.485,-32.346,-20.862,-30.859,-23.861,-31.013,-33.18,-29.001,-36.871,-27.076,-28.133,-25.656,-43.97,-27.861,-27.44,-27.299,-35.006,-34.849,-48.807
-38.757,-30.294,-60.765,-39.138,-22.068,-13.669,-22.119,-15.127,-19.711,-21.876,-14.627,-29.661,-21.926,-18.884,-17.946,-41.364,-28.858,-30.999,-23.174,-35.995,-30.716,-42.61
-34.108,-27.19,-58.655,-31.927,-13.849,-8.532,-22.097,-10.502,-13.543,-12.12,-10.514,-22.972,-16.268,-15.279,-18.952,-33.126,-29.853,-30.968,-21.101,-35.959,-26.075,-37.445
-27.414,-21.015,-57.059,-30.358,-7.687,-1.864,-14.39,-4.856,-9.431,-9.547,-11.528,-18.85,-10.104,-9.628,-14.323,-29.506,-26.75,-29.4,-18.518,-31.312,-22.975,-33.821
-27.898,-22.531,-57.002,-27.766,-7.167,-2.374,-13.351,-9.462,-10.447,-14.148,-9.467,-20.881,-10.607,-5.52,-13.796,-34.6,-23.649,-32.444,-23.111,-32.818,-25.513,-35.324
-39.654,-33.267,-67.703,-33.373,-19.968,-11.081,-26.658,-20.723,-24.269,-20.281,-12.019,-27.007,-16.744,-14.224,-22.491,-36.102,-30.798,-38.56,-31.285,-43.544,-30.611,-43.486
-41.663,-32.721,-72.759,-41.537,-29.682,-17.218,-28.168,-24.801,-27.83,-22.823,-14.569,-27.493,-17.752,-19.845,-23.494,-37.603,-38.964,-43.132,-29.204,-45.037,-31.605,-43.955
-36.498,-24.492,-60.391,-37.397,-21.967,-15.664,-16.869,-20.677,-18.581,-22.288,-13.017,-25.416,-14.66,-14.19,-22.445,-38.59,-32.265,-37.453,-22.515,-34.746,-27.987,-33.152
-44.659,-33.689,-60.842,-37.36,-22.458,-13.086,-19.414,-17.583,-26.247,-26.364,-20.177,-32.051,-21.818,-20.835,-30.62,-37.527,-27.622,-31.78,-30.177,-37.785,-30.008,-35.168
-54.348,-51.073,-79.225,-53.716,-39.341,-18.709,-32.714,-23.713,-40.053,-34.534,-29.378,-41.752,-33.579,-34.135,-36.737,-48.76,-40.402,-44.044,-46.541,-55.678,-45.348,-53.064
-48.658,-43.85,-76.072,-53.15,-34.179,-19.202,-34.731,-29.325,-26.181,-30.914,-23.713,-37.1,-28.422,-27.953,-33.626,-53.322,-47.022,-54.758,-39.322,-56.135,-46.839,-54.548
-37.339,-24.851,-56.528,-30.555,-12.628,-5.351,-22.913,-17.0,-9.761,-15.001,-9.857,-23.743,-14.049,-15.117,-25.396,-35.85,-35.191,-40.871,-15.204,-37.123,-25.275,-37.075
