0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-7.26,-2.306,1.248,9.332,1.295,1.477,7.296,8.128,-13.81,-58.653,-15.786,-9.392,-19.659,-12.637,-28.698,-10.794,-10.469,-18.889,5.917,-8.301,-15.2,-8.72
-18.523,-14.087,-11.561,-4.51,-6.903,-9.795,-0.396,-1.102,-24.042,-67.816,-26.017,-17.58,-30.91,-23.383,-41.477,-20.517,-20.704,-35.264,-1.774,-21.101,-23.894,-21.007
-25.677,-19.708,-19.234,-15.264,-14.069,-20.544,-11.666,-10.835,-33.239,-76.97,-32.651,-23.198,-36.002,-27.458,-46.558,-31.255,-31.442,-43.426,-10.993,-25.69,-33.604,-32.769
-13.356,-8.418,-6.407,-1.416,-3.296,-9.252,-0.896,-4.676,-24.497,-70.233,-27.495,-12.928,-28.793,-17.185,-34.729,-19.441,-17.066,-18.279,1.313,-10.295,-22.812,-19.416
-4.633,-0.212,3.846,5.245,1.83,-4.632,5.765,-1.085,-17.812,-63.502,-21.832,-9.842,-26.715,-19.729,-35.206,-13.274,-11.926,-16.724,12.07,-8.748,-13.055,-7.613
-15.9,-9.434,-8.966,-7.568,-8.418,-21.534,-10.635,-12.355,-31.115,-74.71,-31.032,-26.738,-37.96,-35.591,-52.077,-32.216,-35.48,-46.421,-6.897,-25.133,-28.411,-21.95
-24.593,-20.183,-19.203,-13.196,-13.532,-26.635,-17.797,-15.417,-37.231,-81.295,-38.173,-30.297,-42.02,-34.018,-56.636,-39.356,-45.691,-50.473,-19.698,-32.28,-41.703,-32.175
-17.908,-14.015,-8.938,-7.547,-10.445,-15.338,-7.533,-5.155,-24.386,-69.943,-30.45,-16.947,-33.781,-22.201,-44.796,-25.484,-31.301,-31.98,-5.334,-30.199,-31.415,-21.384
-16.866,-8.878,-6.88,-9.077,-10.434,-18.396,-10.087,-5.662,-22.825,-66.799,-27.858,-17.955,-33.235,-24.741,-40.653,-25.971,-26.658,-32.46,-0.205,-28.632,-24.211,-18.289
-21.972,-18.603,-22.754,-15.728,-11.961,-27.087,-18.786,-15.903,-33.561,-75.442,-33.978,-27.158,-38.837,-29.839,-49.834,-33.63,-33.292,-40.624,-11.476,-27.579,-33.921,-26.98
-19.901,-18.584,-22.219,-12.638,-10.924,-19.888,-11.082,-12.813,-31.478,-73.829,-30.358,-21.496,-33.163,-25.711,-51.321,-26.936,-29.16,-32.899,-6.854,-23.453,-34.399,-24.903
-13.733,-4.733,-5.291,-4.428,-7.84,-10.646,4.298,-1.017,-23.762,-63.509,-24.692,-13.79,-26.982,-23.123,-38.974,-17.176,-18.372,-25.694,6.473,-17.281,-22.069,-15.145
-11.158,-0.63,1.887,0.187,-4.246,-7.562,9.929,3.082,-24.25,-61.397,-24.155,-12.239,-27.98,-22.588,-33.812,-14.597,-14.768,-30.279,9.028,-12.141,-18.461,-10.519
-10.634,-1.142,3.422,1.724,-1.168,-6.017,7.87,0.518,-23.714,-65.434,-20.545,-12.227,-25.39,-20.004,-41.463,-15.095,-16.802,-30.761,10.044,-12.129,-21.004,-7.434
-10.624,1.933,4.443,1.722,-2.191,-8.573,5.3,0.005,-21.641,-63.319,-20.012,-14.776,-22.291,-18.447,-43.983,-20.715,-21.396,-25.095,12.083,-15.191,-21.496,-10.501
-11.126,-2.167,0.852,0.183,-4.238,-11.638,2.734,0.517,-21.107,-60.182,-22.554,-16.298,-23.806,-17.916,-40.353,-23.256,-25.986,-25.582,7.46,-17.737,-25.573,-16.126
-11.627,-7.288,-3.759,-4.428,-4.746,-10.09,-2.904,0.004,-17.5,-62.683,-19.97,-13.208,-24.806,-17.898,-42.362,-19.646,-26.984,-29.143,2.842,-19.768,-29.133,-14.573
-17.25,-8.818,-10.928,-11.083,-8.327,-12.641,-9.049,-3.069,-22.093,-69.793,-25.073,-19.343,-31.442,-23.003,-51.029,-27.311,-30.543,-31.675,-2.284,-26.409,-30.641,-19.681
-24.918,-17.006,-20.138,-13.121,-14.979,-19.801,-11.089,-9.214,-32.829,-74.334,-36.831,-30.082,-38.07,-29.128,-55.076,-38.555,-36.661,-37.279,-10.991,-34.067,-37.27,-32.981
-22.331,-18.013,-16.02,-9.522,-14.964,-21.318,-9.541,-11.766,-33.309,-73.235,-33.72,-26.978,-36.495,-28.074,-51.947,-34.418,-36.112,-40.315,-10.98,-30.959,-38.77,-28.85
-15.137,-6.725,-4.221,-5.414,-10.338,-20.784,-6.97,-13.291,-30.714,-71.112,-29.076,-20.291,-38.508,-23.435,-50.358,-28.236,-29.416,-38.226,-1.235,-24.268,-30.022,-13.964
-18.708,-7.23,-5.241,-7.458,-12.377,-23.325,-7.476,-15.84,-36.831,-72.578,-37.243,-23.857,-41.031,-24.437,-53.382,-31.793,-29.386,-43.311,0.815,-25.781,-29.48,-16.0
-24.837,-15.42,-10.871,-11.037,-15.439,-22.789,-10.03,-13.775,-34.745,-71.993,-35.669,-25.882,-33.305,-25.949,-51.792,-31.249,-34.48,-47.366,-3.284,-27.804,-35.086,-21.107
-20.713,-12.843,-7.786,-9.489,-9.276,-19.693,-7.97,-10.175,-24.464,-68.335,-25.9,-23.807,-29.173,-20.288,-45.592,-25.07,-30.347,-33.998,-1.231,-24.702,-30.44,-16.987
-15.057,-9.756,-4.705,-5.893,-5.68,-20.698,-4.376,-12.726,-25.464,-67.754,-28.435,-22.246,-30.169,-16.681,-43.497,-21.971,-20.07,-21.157,4.405,-19.555,-24.774,-14.921
-16.579,-10.771,-7.774,-6.912,-10.798,-22.214,-5.397,-14.25,-29.537,-70.248,-31.481,-20.175,-28.09,-19.738,-44.991,-21.95,-19.538,-28.82,5.425,-18.511,-27.311,-18.492
-22.198,-13.834,-12.377,-11.516,-14.885,-21.167,-7.953,-13.724,-30.02,-71.203,-29.912,-22.716,-35.746,-25.866,-51.093,-30.124,-29.765,-39.55,-1.24,-26.177,-30.357,-23.084
-26.274,-20.993,-15.951,-13.041,-14.358,-24.22,-11.019,-15.759,-34.601,-74.205,-36.543,-29.866,-48.518,-31.476,-58.215,-36.754,-35.883,-37.973,-6.362,-34.347,-35.45,-26.135
-22.15,-19.435,-13.373,-10.467,-12.807,-25.733,-12.032,-14.719,-30.98,-74.643,-36.506,-27.787,-43.346,-30.932,-54.57,-31.082,-30.211,-33.325,0.305,-29.19,-36.439,-23.547
-13.93,-8.144,-6.188,-5.845,-9.208,-18.534,-6.385,-7.532,-22.24,-64.835,-23.149,-18.537,-33.569,-22.704,-45.294,-25.928,-23.521,-28.681,9.526,-21.988,-27.181,-16.352
-11.867,-6.087,-3.108,-1.229,-4.076,-13.905,-2.28,-3.938,-22.217,-60.159,-21.077,-17.494,-38.146,-24.731,-48.835,-27.951,-26.059,-25.066,8.492,-24.528,-24.592,-13.261
-13.905,-10.692,-6.691,1.334,-4.071,-16.453,-5.864,-7.008,-19.634,-65.222,-28.228,-23.112,-41.694,-33.928,-55.446,-26.899,-33.718,-27.09,4.385,-26.04,-30.715,-15.297
-12.354,-10.169,-9.245,-0.716,-6.117,-15.924,-4.833,-6.489,-17.565,-65.157,-25.639,-23.601,-36.53,-30.82,-52.317,-25.335,-32.659,-32.698,5.405,-24.99,-31.197,-16.307
-9.268,-8.109,-5.65,-0.716,-3.549,-13.859,1.319,-2.896,-26.256,-61.506,-22.539,-19.991,-35.469,-23.617,-47.142,-25.31,-27.504,-33.178,8.473,-25.477,-29.117,-14.753
-9.771,-8.101,-0.521,3.383,-0.472,-14.357,2.855,-3.918,-26.23,-61.444,-25.078,-16.898,-36.458,-26.667,-48.119,-19.649,-24.915,-27.509,12.563,-19.304,-26.014,-15.763
-11.298,-6.556,-2.57,4.917,-0.471,-11.269,2.852,-5.963,-16.982,-57.797,-22.491,-16.881,-31.298,-28.177,-46.534,-15.531,-20.279,-19.285,16.137,-11.6,-19.84,-16.26
-6.676,-3.476,-3.592,5.424,3.115,-4.598,6.948,-1.859,-15.941,-53.128,-15.809,-17.376,-24.607,-22.514,-39.827,-14.491,-17.697,-15.167,16.121,-12.613,-18.283,-10.096
-0.521,0.626,1.535,10.03,7.211,-2.032,10.014,4.291,-10.289,-50.513,-8.621,-12.236,-21.508,-18.393,-35.689,-8.329,-17.167,-14.64,16.617,-12.6,-17.753,-5.475
-0.521,3.187,4.607,12.581,7.716,-2.03,8.98,3.262,-2.082,-45.34,-7.075,-6.076,-18.413,-13.251,-33.604,-4.222,-12.027,-12.063,19.674,-7.465,-11.587,-7.006
-0.008,3.184,6.139,10.519,8.221,-4.077,8.971,-1.352,-7.716,-44.782,-10.142,-5.557,-14.296,-9.652,-28.448,-4.73,-6.379,-15.638,24.778,-3.359,-9.014,-3.413
5.115,5.742,11.256,11.021,10.262,-6.634,11.523,-1.351,-10.782,-48.323,-9.62,-6.064,-13.77,-15.278,-28.931,0.91,-6.885,-22.794,30.901,-2.331,-9.517,5.812
7.159,10.347,14.831,15.621,10.764,-3.042,15.098,4.286,-6.16,-44.177,-6.536,-4.521,-16.317,-20.898,-34.538,3.471,-7.903,-19.698,32.407,-1.304,-5.922,5.806
6.127,10.337,13.792,18.167,13.314,3.109,17.132,7.868,-7.691,-42.596,-8.579,-6.053,-16.813,-19.34,-33.991,-3.193,-8.407,-15.579,30.325,-2.327,-8.477,1.189
3.047,6.228,9.167,15.587,12.789,0.032,15.578,8.885,-10.245,-49.725,-11.644,-9.121,-18.846,-16.759,-32.42,-7.8,-11.473,-21.711,29.27,-7.96,-16.666,-0.349
-0.542,4.173,5.059,13.01,8.165,-4.066,14.026,11.95,-7.673,-48.651,-10.608,-9.624,-21.901,-16.742,-34.949,-8.817,-11.974,-17.079,27.191,-12.051,-15.112,-1.885
3.045,7.242,7.104,17.095,9.182,0.036,16.061,13.475,-3.055,-41.43,-6.499,-6.541,-18.293,-14.164,-30.816,-8.296,-8.376,-7.328,26.14,-8.453,-13.56,0.166
10.726,9.797,11.707,21.177,13.783,4.135,18.606,12.949,2.584,-41.389,-2.906,-2.948,-11.614,-9.539,-27.199,-4.701,-7.343,-17.055,28.163,-5.37,-18.157,4.776
8.667,5.688,8.622,16.033,10.696,-0.48,16.026,12.424,1.044,-44.421,-7.002,-5.507,-14.677,-8.505,-34.344,-6.234,-10.921,-23.698,26.085,-11.513,-17.115,2.21
3.022,1.584,1.953,10.893,4.025,-5.091,9.862,6.776,-7.154,-46.426,-15.192,-11.137,-20.81,-10.033,-35.847,-10.326,-12.96,-11.378,23.498,-13.55,-15.048,-2.915
7.118,6.706,5.537,14.981,7.095,-1.499,10.365,0.621,-5.609,-46.892,-11.59,-8.564,-16.178,-9.511,-27.101,-4.168,-4.238,-4.195,29.11,-2.778,-11.447,0.161
14.283,13.359,16.803,21.114,15.797,3.113,19.064,6.256,3.618,-39.672,-0.308,1.178,-6.428,-5.403,-19.39,4.546,7.037,-2.141,36.253,5.934,-2.214,4.772
15.293,13.346,18.323,19.556,18.343,2.598,23.655,15.471,7.713,-32.461,1.742,2.714,0.238,-0.274,-14.247,8.64,5.494,7.082,35.704,3.879,-2.212,5.792
11.692,8.721,8.57,14.413,13.201,0.546,18.509,13.919,3.606,-34.477,-3.895,-0.875,-0.786,0.75,-13.721,7.094,0.877,8.1,29.009,-1.248,-10.406,1.175
1.946,1.54,-0.66,9.788,3.454,-5.603,9.269,7.245,-5.619,-44.177,-9.015,-5.485,-10.52,-7.447,-22.929,-4.184,-2.71,-2.667,21.295,-4.833,-12.445,-9.584
-8.814,-8.195,-3.733,1.069,-4.234,-17.892,1.575,3.139,-12.273,-54.891,-15.666,-15.725,-21.267,-17.686,-33.152,-16.987,-13.466,-13.935,16.663,-12.513,-18.068,-17.259
-11.367,-9.724,-7.315,-4.568,-3.717,-19.411,1.573,2.624,-12.261,-55.861,-18.724,-21.857,-22.271,-15.619,-34.656,-18.507,-20.624,-22.118,15.109,-20.697,-26.759,-18.779
-7.257,-9.202,-12.431,-1.489,-0.128,-9.658,6.695,6.72,-9.687,-47.608,-14.607,-14.663,-20.199,-8.431,-33.084,-15.415,-17.018,-18.51,12.02,-19.652,-23.659,-20.297
-10.323,-15.34,-15.492,-0.975,-2.689,-11.185,4.126,6.201,-9.165,-49.609,-16.129,-12.599,-23.253,-11.497,-36.637,-15.912,-19.562,-13.88,9.447,-16.559,-21.074,-21.814
-16.973,-18.399,-17.014,-7.634,-6.272,-22.957,-5.612,-2.003,-12.742,-57.244,-23.285,-20.784,-27.84,-20.194,-39.674,-18.97,-24.153,-20.014,7.388,-20.641,-26.176,-24.353
-15.932,-15.819,-18.534,-10.188,-6.778,-25.496,-8.68,-6.099,-20.926,-57.7,-23.262,-22.812,-25.763,-20.686,-37.585,-21.0,-20.543,-16.92,5.331,-24.206,-23.588,-28.428
-13.354,-14.266,-15.441,-8.641,-7.796,-23.933,-5.085,-7.117,-25.516,-59.691,-23.239,-21.765,-23.176,-16.567,-34.986,-20.467,-20.01,-7.169,7.888,-21.108,-22.54,-25.838
-16.927,-13.739,-8.254,-9.657,-7.788,-24.934,-2.006,-9.672,-23.441,-65.267,-28.851,-26.354,-28.788,-17.063,-38.025,-21.983,-22.039,-16.896,10.441,-20.062,-28.665,-22.226
-19.984,-14.238,-10.295,-10.16,-7.268,-23.372,-1.492,-6.588,-22.393,-63.665,-29.847,-28.889,-33.883,-22.169,-41.061,-28.621,-23.042,-30.199,5.308,-26.19,-28.636,-27.839
-18.427,-18.322,-17.457,-7.076,-10.335,-25.398,-4.052,-2.483,-23.396,-63.089,-28.792,-29.372,-32.824,-24.708,-42.044,-31.154,-29.679,-27.607,0.179,-29.75,-30.657,-32.422
-18.408,-16.767,-14.365,-5.02,-10.837,-31.008,-6.097,-4.53,-22.348,-64.05,-28.763,-29.855,-32.279,-24.684,-44.564,-29.586,-34.26,-25.531,2.228,-28.696,-36.774,-28.803
-17.878,-11.627,-6.666,-5.014,-5.703,-24.317,-0.455,-3.501,-17.714,-57.838,-23.611,-24.702,-32.247,-19.536,-41.446,-26.995,-28.078,-23.968,4.275,-26.618,-32.639,-26.213
-11.712,-12.64,-8.709,-1.936,-5.185,-16.608,6.205,4.699,-12.574,-54.194,-18.465,-19.042,-27.604,-11.319,-31.67,-20.82,-21.902,-13.186,4.271,-20.956,-24.409,-26.187
-10.164,-15.189,-11.262,-1.421,-7.741,-18.641,6.199,7.769,-10.512,-54.653,-19.983,-23.634,-23.478,-12.845,-30.614,-18.238,-18.294,-12.148,5.804,-17.348,-24.385,-26.673
