0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-2.064,-3.577,0.186,-4.826,-1.024,-3.164,-3.695,-0.347,-2.029,-2.703,-2.454,0.412,3.496,-0.821,0.432,3.229,-1.597,2.093,0.19,1.91,2.143,1.251
1.012,-1.524,-1.351,1.327,1.539,-1.624,-3.691,1.703,-3.564,2.422,-1.939,-2.662,3.492,-0.308,1.969,3.226,-1.596,-0.471,-0.835,5.494,-0.42,2.275
2.548,3.6,2.749,2.863,-2.049,3.501,2.46,2.725,1.563,4.469,1.137,-0.098,1.44,-0.82,-2.132,-2.925,-0.057,2.091,0.703,1.902,4.191,0.223
3.057,1.035,6.845,-0.726,-2.047,0.936,2.97,3.747,2.074,-2.708,-1.426,-1.635,0.926,-4.406,-3.667,-0.873,0.968,0.552,-0.322,-1.174,2.65,-1.314
2.542,1.034,4.789,2.86,2.053,-2.652,-2.668,3.231,-2.539,-3.217,-1.937,-3.17,-2.661,-1.84,0.436,4.251,-0.058,-6.108,-1.859,-0.66,-2.988,0.224
3.052,2.57,1.71,2.858,2.564,0.937,-2.153,0.154,0.537,3.958,0.627,-0.093,-4.195,3.285,1.46,2.71,-0.57,-4.053,1.217,-0.66,-0.424,2.273
4.073,1.031,5.295,-1.244,2.049,2.473,2.46,0.154,2.586,0.368,-1.423,0.932,0.932,1.745,-0.591,1.17,1.48,1.074,0.704,0.878,2.138,2.271
1.508,1.542,7.338,1.831,1.534,-1.628,0.92,-1.383,-1.003,-5.268,-2.446,-2.655,1.956,0.719,0.434,1.169,1.99,-2.001,-1.346,0.877,-1.45,0.732
-1.055,2.053,0.671,2.854,-3.078,-1.626,-0.105,-2.406,-1.002,0.885,-0.907,-2.653,-3.169,3.279,0.434,-1.906,-1.085,-2.511,1.729,-0.661,-1.449,-1.318
2.532,-1.023,-1.891,-1.247,-1.538,1.449,1.944,2.207,-0.489,3.958,-1.418,-0.089,-0.605,1.227,-1.616,-2.929,-2.109,1.59,3.776,1.902,1.114,-0.804
3.042,-1.022,4.771,2.34,3.587,1.96,-0.107,3.742,-2.025,-2.193,-1.929,1.961,2.47,-1.848,-2.639,-0.364,-0.058,-0.461,1.211,1.9,0.601,0.221
-0.547,0.003,3.741,2.338,-0.003,2.471,-2.156,-1.897,-0.486,-2.703,-0.903,-0.09,-2.656,-0.822,-1.612,1.685,-1.082,-3.534,0.697,-0.664,-2.474,-0.291
0.478,-1.021,-6.508,-3.3,-3.589,1.444,-1.642,-1.896,1.051,0.373,-0.902,-3.676,-3.165,-0.821,0.952,0.147,-1.081,-1.482,0.184,2.923,-1.446,-0.804
3.551,-1.02,-3.94,1.314,0.001,-2.144,0.409,-0.869,-0.487,2.934,-0.389,-2.136,0.936,-0.308,1.463,-0.366,2.506,0.569,-1.865,2.92,2.653,-1.827
3.035,-1.531,8.359,7.461,0.513,-1.63,4.507,-2.405,0.026,2.419,-0.388,1.452,-0.602,0.205,-0.588,1.684,1.479,1.593,-0.326,-3.23,1.626,-2.85
1.495,-2.042,6.814,2.842,-2.049,2.471,4.503,0.159,0.026,-4.756,-2.437,1.963,-1.113,-2.357,-0.075,0.657,-2.621,0.567,1.211,-3.74,-2.986,-1.31
2.006,0.521,-4.976,-2.284,-1.535,0.419,-0.625,-0.866,-0.998,-5.775,-2.947,1.449,0.425,-1.842,2.487,-0.368,0.968,0.566,-0.327,-0.15,-1.446,0.228
3.541,0.009,-3.947,-0.744,-0.509,-3.68,-0.112,-2.402,0.539,3.452,-1.919,-0.089,0.424,1.233,-0.077,2.706,5.065,1.078,-0.839,1.387,1.117,-0.285
3.025,-1.016,5.791,3.355,0.516,0.422,3.474,3.236,1.051,3.448,0.132,-0.602,1.961,-0.305,-1.614,2.191,0.962,-0.46,-0.326,4.46,0.603,0.74
-0.564,1.034,4.248,4.888,0.516,3.495,0.397,1.183,-1.511,-3.727,3.205,2.473,1.446,-1.841,-0.076,-2.422,-2.113,-0.459,-1.35,3.943,0.603,1.252
-2.1,-2.041,-4.977,1.81,-4.095,-1.631,-2.165,-5.99,-0.485,-1.674,3.202,1.446,-0.604,-1.839,-0.588,0.142,-0.062,0.566,-1.861,-0.159,-2.472,-0.286
1.488,-5.113,-7.022,-0.754,-3.067,-4.191,-0.626,-0.349,0.54,-0.136,0.637,-1.117,1.958,-0.301,-0.587,4.753,-0.062,0.053,-0.835,2.402,-4.006,1.251
1.999,0.016,-0.867,1.296,4.109,0.424,0.399,3.238,0.027,-2.697,1.149,2.982,2.981,3.286,-0.587,0.137,-1.598,0.565,0.191,5.474,2.145,3.299
-1.077,2.577,4.769,2.32,3.08,-0.089,1.423,-2.401,-2.022,-1.158,0.636,3.492,-1.633,1.233,-0.586,-3.961,-0.572,1.589,-0.834,1.37,4.193,2.271
3.022,-2.548,4.765,-1.269,-1.534,-3.675,0.91,0.675,-4.069,-2.693,-0.902,-1.635,-2.656,-3.891,0.951,-0.883,1.478,-0.462,-1.858,-2.218,-1.447,1.244
6.093,-2.034,3.735,-2.805,-0.508,-0.085,-3.19,2.724,-2.016,-2.691,-0.389,-2.146,-0.604,-0.813,-0.586,0.654,-0.573,-0.974,-1.856,-1.191,0.091,3.804
0.452,2.579,4.244,0.272,2.567,2.477,-1.65,-2.402,0.035,4.997,0.124,-0.606,0.933,3.798,-3.66,0.141,-2.622,0.052,-1.342,0.347,3.677,4.313
-0.573,0.527,2.703,1.296,1.54,0.937,2.963,0.162,-4.576,2.43,-0.901,-3.167,1.445,0.208,-1.095,-0.883,-1.594,-0.973,-0.316,-0.678,-0.937,-0.302
2.501,-3.572,-1.911,-1.779,-1.536,2.473,-0.626,1.186,-6.108,-7.306,-0.9,-2.14,-1.118,-1.841,-2.118,-2.419,-0.056,0.053,-1.852,-2.726,-1.961,-1.839
-0.575,-2.543,-3.446,-3.314,-0.51,0.934,-4.724,-1.376,0.558,-0.639,-0.899,0.936,-1.63,1.747,-4.677,1.169,-1.593,-0.972,-3.9,-0.674,1.627,1.749
-0.575,0.533,0.656,2.325,2.052,-1.629,0.916,4.261,2.094,6.022,0.127,-0.601,0.421,1.745,0.45,3.73,-3.128,-4.557,-0.31,3.937,2.65,2.26
1.987,1.557,5.778,3.859,1.538,4.008,4.501,5.281,-4.055,-2.181,1.151,-3.675,-1.116,1.231,-0.062,0.652,0.461,-1.478,3.789,1.372,1.623,-1.329
-1.601,1.043,3.723,-2.804,-0.513,6.054,1.423,-2.921,-3.539,-3.204,-0.899,-1.11,-1.115,2.767,-5.185,0.651,2.51,3.646,-0.826,-3.24,-0.428,-1.84
-1.087,2.067,-1.403,-3.826,2.049,-2.149,-1.14,-1.894,3.637,3.46,-2.435,1.453,0.935,1.227,-2.619,1.675,-0.566,1.593,-3.386,-0.163,-0.94,0.724
3.525,0.015,0.647,2.325,2.56,-1.635,-1.651,1.694,4.658,-0.13,1.153,-0.598,-1.115,-0.311,-0.567,-0.888,-1.591,-1.995,0.716,3.935,2.647,0.723
0.96,-3.058,6.794,1.811,-1.029,4.002,2.449,0.156,-1.495,-4.741,1.152,-1.622,-4.187,1.226,-2.616,0.138,-0.564,-0.456,0.203,0.345,4.182,-0.302
-2.627,-1.006,6.275,-3.314,-0.516,-1.125,3.471,1.18,-2.518,0.387,-3.46,0.429,-0.597,0.713,-1.588,-0.375,-1.588,3.131,-2.359,-3.241,0.591,-0.302
-1.088,1.556,0.634,-1.262,1.022,-6.759,-2.68,-0.358,2.096,1.411,-1.407,0.941,2.99,0.712,-2.611,-3.448,-1.074,1.079,1.742,0.86,-0.946,0.211
-1.087,0.018,-1.929,-0.236,1.021,-0.092,-0.628,-2.919,4.143,-2.176,1.668,-0.084,1.962,0.711,-3.121,-0.371,0.976,-1.996,3.277,2.909,1.616,0.21
-0.573,-0.494,-0.902,-3.309,-0.517,5.031,5.008,0.67,0.552,0.9,-1.92,-2.134,0.423,0.71,0.468,1.166,-1.074,-0.457,-1.337,-0.168,2.639,0.722
-0.573,0.531,-0.901,-2.794,-3.078,-0.61,-2.169,0.669,-3.547,1.924,-4.479,-4.181,0.423,2.247,-0.557,-3.958,-1.586,-0.457,-0.824,0.857,0.075,1.746
-2.621,-1.519,-2.437,0.795,-0.514,-3.683,-5.753,-1.381,-4.055,-2.177,-1.401,-1.103,1.959,2.757,-2.093,-3.442,0.465,-5.58,-0.31,2.905,-0.95,2.257
0.455,-2.03,-1.41,3.356,3.073,0.931,2.449,3.231,-0.465,-0.125,-0.887,0.435,1.957,-1.344,0.983,1.173,-0.56,-3.012,-3.384,-1.196,2.638,1.742
1.479,-1.515,3.714,2.84,1.533,2.467,3.471,4.765,1.585,1.412,-1.911,-3.663,-1.119,-3.392,2.006,1.171,-1.584,3.138,-1.844,-2.22,0.586,1.741
-3.645,-2.539,4.735,-0.749,1.019,-0.609,-3.192,0.15,-2.003,-4.225,-1.909,-3.66,-0.605,-1.852,0.98,1.683,-0.045,2.111,1.232,1.881,-5.05,1.739
