0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.73,-3.106,-74.359,-4.966,2.126,-0.77,-14.269,-2.244,1.6,-39.3,2.407,-1.363,1.37,1.561,1.906,0.316,2.968,3.132,-0.831,-0.235,-0.339,-1.693
0.704,-0.541,-74.797,-5.985,-0.437,-1.793,-10.668,0.32,0.574,-40.285,2.405,-2.387,3.417,-1.514,-2.707,2.365,-1.646,0.055,0.194,-0.747,1.711,-0.667
-2.883,0.484,-76.771,-4.955,0.075,1.794,-11.682,-0.193,-1.476,-38.196,-0.671,-3.921,2.389,-1.0,-1.679,2.875,-2.669,-1.994,1.731,-0.234,1.197,3.945
-1.343,-1.054,-80.281,-3.413,1.612,-0.769,-16.281,-4.291,-2.499,-37.133,-0.671,-2.893,-1.199,2.074,1.396,-0.202,0.408,1.081,0.704,0.278,0.171,1.892
1.22,-3.102,-79.688,-4.434,1.098,-3.33,-13.191,1.861,-0.448,-40.169,0.354,0.697,-1.198,2.585,-1.679,-2.763,1.432,-0.457,0.704,-0.747,1.708,-2.209
1.731,-2.586,-74.485,-6.479,-0.44,0.772,-12.153,5.958,3.139,-41.154,0.354,0.183,-0.684,1.045,-0.653,-1.223,-1.644,-4.555,1.728,-0.234,1.706,-0.157
1.217,1.515,-73.898,-6.472,-0.952,-0.766,-14.703,-0.196,2.624,-40.6,-0.159,-0.841,-1.708,0.019,3.959,0.827,-2.667,-1.476,-0.323,1.816,1.704,1.892
-1.346,-0.536,-76.386,-5.441,-0.951,-0.252,-11.102,-2.245,-0.965,-41.072,-0.158,1.209,0.855,-0.493,-1.168,-0.711,-1.127,0.062,-1.86,-0.748,3.24,-1.184
0.705,-3.097,-77.334,-4.923,-1.462,4.871,-10.578,-1.218,0.06,-42.056,-0.158,-0.329,2.391,0.532,-3.729,0.315,-2.663,-0.962,-0.321,-4.333,1.7,-1.695
3.265,2.029,-76.745,-4.406,-1.46,-0.769,-15.179,-2.242,2.11,-42.526,-0.67,-3.403,-1.71,0.532,2.423,2.364,-3.172,1.6,0.192,-1.255,0.161,0.356
-1.349,3.052,-74.106,-4.402,-1.459,-5.379,-12.602,-0.702,0.57,-39.41,-1.182,-1.35,-0.684,0.531,1.908,-2.25,1.442,1.086,-0.321,1.308,-0.864,-0.669
-2.372,-2.074,-74.545,-4.91,-0.945,1.798,-11.565,-1.214,-0.967,-37.833,-0.156,0.188,3.416,3.605,-1.168,-4.809,0.416,-1.989,0.192,-0.742,-2.4,-0.156
1.217,-2.585,-77.544,-4.905,0.08,3.333,-14.627,-2.75,0.571,-41.382,-1.181,-0.324,1.875,2.576,2.42,0.831,-2.146,-0.45,-0.833,-0.229,-2.398,-0.156
-0.834,-1.558,-76.954,-3.875,-0.432,2.305,-11.538,1.351,2.107,-40.316,-1.692,1.213,-0.176,-1.012,1.905,1.855,1.442,1.088,1.217,3.357,-1.883,-2.717
-1.858,-3.093,-76.877,-4.384,-1.969,4.865,-9.99,1.862,-0.456,-35.152,-0.665,1.212,0.849,-0.499,-3.22,-3.27,2.977,0.574,3.265,2.329,-1.369,-0.153
0.193,-2.065,-78.849,-6.429,-1.454,2.298,-15.103,-2.75,-3.53,-36.142,-0.153,-2.376,0.848,1.038,-1.68,-1.73,2.462,0.574,0.188,-0.235,0.17,1.897
0.193,-1.551,-76.209,-6.422,0.084,-2.315,-15.088,-2.235,-1.989,-38.667,0.36,-1.861,1.872,-0.5,1.396,2.371,2.46,0.573,-0.325,-0.235,-0.855,-2.716
1.218,-2.062,-73.571,-3.854,1.109,0.249,-11.487,0.841,2.111,-38.116,0.872,0.702,1.87,0.013,0.882,0.319,-1.129,1.597,2.237,0.278,-0.342,-2.201
1.729,1.527,-74.522,-2.313,1.108,1.273,-13.524,0.84,0.572,-37.566,0.359,-0.323,-0.181,2.062,0.369,-2.755,-2.665,1.595,0.698,1.302,2.22,0.363
-1.859,1.013,-75.472,-3.848,0.082,1.272,-15.56,-0.698,-1.99,-37.016,-0.154,-0.835,-0.181,1.548,-1.681,-1.728,0.924,-3.017,1.21,1.813,-1.368,-2.711
-1.345,-1.55,-75.909,-6.406,-0.431,0.246,-12.983,-2.234,1.086,-36.466,-0.666,1.215,0.844,0.522,-3.216,1.86,0.411,-5.063,2.745,-1.262,-2.392,-2.709
-0.319,1.013,-75.833,-6.912,1.619,-2.315,-13.482,-2.232,4.159,-38.992,-2.715,0.702,-1.206,0.009,-0.651,2.883,-0.614,-0.96,-0.844,-1.261,2.221,2.417
-0.831,1.525,-75.245,-5.88,1.105,1.785,-16.543,-0.18,0.056,-39.977,-1.687,-1.348,0.844,-1.016,-0.651,0.831,1.948,1.091,-0.33,2.326,0.682,0.878
1.731,-2.063,-73.633,-4.85,-2.994,3.833,-13.965,-0.18,-3.018,-38.913,0.876,-1.859,4.43,-3.064,-2.699,1.342,-0.616,-0.96,3.256,-1.775,-1.88,-2.709
