0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-14.198,-12.603,-10.529,4.196,8.938,-3.433,0.5,13.365,-2.568,-18.655,-13.305,-14.788,-10.647,-16.029,-11.97,-16.51,-11.816,-8.442,-23.958,-11.063,-14.018,-15.588
-10.598,-6.443,-6.42,9.315,14.565,-1.381,1.011,14.888,1.021,-11.464,-7.656,-7.6,-4.488,-10.378,-6.323,-11.371,-9.755,-2.286,-25.471,-7.978,-12.98,-12.498
-10.587,-7.461,-3.853,7.769,17.112,0.158,6.133,16.923,1.02,-12.477,-11.235,-6.056,-1.922,-9.855,-6.829,-10.847,-5.647,1.815,-23.909,-5.408,-10.405,-14.535
-12.114,-12.576,-7.435,3.663,12.996,-3.429,2.541,13.32,-5.129,-21.174,-17.884,-14.759,-11.654,-15.993,-10.408,-14.422,-6.153,0.276,-20.811,-8.989,-14.493,-17.594
-14.151,-15.638,-8.452,4.172,8.885,-8.036,-8.22,7.159,-6.661,-21.665,-18.378,-16.281,-17.278,-19.051,-11.422,-16.457,-10.758,-7.409,-23.352,-11.542,-15.503,-18.602
-11.575,-7.938,-2.296,11.34,17.073,1.194,-1.039,12.787,-0.506,-13.446,-15.286,-9.605,-9.576,-14.421,-11.411,-14.391,-9.21,-7.401,-22.816,-7.944,-7.291,-13.972
-10.027,-4.856,-2.806,13.378,22.179,6.315,6.134,15.335,-3.58,-15.482,-15.783,-13.182,-11.616,-14.406,-16.01,-17.451,-9.201,1.315,-21.256,-9.473,-11.382,-12.934
-14.627,-14.072,-10.488,8.241,14.472,-4.449,-1.557,8.66,-8.699,-21.102,-16.792,-16.755,-18.264,-16.954,-15.994,-22.044,-15.339,-1.247,-26.87,-12.537,-18.543,-20.093
-11.026,-12.521,-10.477,9.257,17.531,-1.883,2.031,17.361,1.043,-10.322,-8.066,-6.492,-6.463,-9.252,-3.17,-12.8,-8.152,-3.295,-24.282,-6.377,-8.278,-18.024
-4.355,-5.849,-9.442,13.859,26.735,7.852,9.714,24.003,7.702,-1.603,0.139,0.175,2.765,-3.095,4.517,-3.566,3.127,12.077,-13.499,-0.735,-0.585,-7.759
-15.11,-22.749,-22.24,2.574,11.852,-8.037,-5.665,2.975,-6.138,-15.946,-9.082,-11.608,-8.508,-12.314,-4.196,-15.346,-8.147,10.528,-21.683,-9.956,-14.417,-18.51
-33.025,-44.243,-41.174,-15.359,-8.14,-30.058,-24.103,-9.836,-20.476,-31.811,-25.98,-25.941,-21.82,-24.597,-14.951,-30.7,-21.459,-14.586,-41.641,-24.291,-28.747,-41.033
-35.041,-39.588,-42.669,-13.807,-3.521,-26.954,-23.566,0.932,-17.382,-30.243,-28.003,-25.403,-21.798,-26.621,-19.547,-28.107,-16.314,-17.645,-41.599,-24.779,-28.206,-37.918
-25.273,-24.18,-28.282,-2.522,6.728,-12.583,-13.297,7.079,-7.631,-23.04,-19.778,-19.23,-16.141,-25.058,-21.576,-21.932,-12.199,0.304,-26.188,-13.995,-23.055,-22.511
-18.587,-19.032,-22.618,0.554,8.259,-6.935,-6.623,3.998,-4.549,-19.943,-16.172,-20.235,-17.149,-22.471,-24.116,-23.959,-15.773,3.377,-21.039,-10.395,-20.47,-21.976
-17.544,-19.526,-22.596,1.066,9.787,-6.928,-8.666,4.507,-6.594,-19.411,-18.205,-21.24,-20.206,-21.424,-25.117,-22.91,-14.733,1.837,-21.53,-14.996,-17.888,-21.442
