0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3.619,-0.889,11.318,14.062,16.106,22.495,17.001,17.399,8.773,2.821,2.034,3.787,3.233,-3.864,5.603,4.251,-6.098,0.758,7.691,4.82,4.619,33.469
3.616,-0.888,11.307,14.048,16.09,22.472,16.984,17.382,8.765,2.818,2.032,3.784,3.23,-3.86,5.598,4.246,-6.092,0.757,7.683,4.815,4.615,33.436
3.612,-0.887,11.296,14.034,16.074,22.45,16.967,17.365,8.756,2.815,2.03,3.78,3.227,-3.856,5.592,4.242,-6.085,0.757,7.676,4.81,4.61,33.402
3.609,-0.887,11.284,14.02,16.058,22.427,16.95,17.347,8.747,2.812,2.028,3.776,3.223,-3.852,5.587,4.238,-6.079,0.756,7.668,4.805,4.606,33.369
3.605,-0.886,11.273,14.006,16.042,22.405,16.933,17.33,8.738,2.809,2.026,3.772,3.22,-3.848,5.581,4.234,-6.073,0.755,7.66,4.801,4.601,33.335
3.601,-0.885,11.262,13.992,16.026,22.382,16.916,17.313,8.73,2.806,2.024,3.768,3.217,-3.844,5.575,4.229,-6.067,0.754,7.653,4.796,4.596,33.302
3.598,-0.884,11.251,13.978,16.01,22.36,16.9,17.295,8.721,2.804,2.022,3.765,3.214,-3.84,5.57,4.225,-6.061,0.754,7.645,4.791,4.592,33.269
3.594,-0.883,11.239,13.964,15.994,22.338,16.883,17.278,8.712,2.801,2.02,3.761,3.211,-3.837,5.564,4.221,-6.055,0.753,7.637,4.786,4.587,33.235
-3.64,-6.099,9.711,10.371,11.571,20.033,16.509,19.331,5.787,-0.494,-1.853,-1.891,-4.976,-8.936,-3.607,-6.02,-19.609,-11.941,4.094,-4.492,-0.848,25.875
-2.099,-1.995,8.164,8.824,9.51,18.476,12.906,18.287,5.781,0.019,-1.339,1.185,-4.971,-9.44,2.544,0.133,-7.806,-0.658,4.09,4.734,6.325,26.873
3.026,-4.042,6.619,10.352,13.599,21.019,12.894,17.244,7.824,2.068,1.737,5.282,5.792,-4.82,10.226,9.355,-0.114,2.417,3.574,9.34,8.368,29.92
2.511,-7.624,4.563,10.854,17.172,22.023,14.418,17.739,8.329,2.066,3.272,5.277,10.909,-0.716,9.704,7.808,-1.65,0.365,5.62,6.257,3.236,25.28
4.557,-1.469,10.194,13.917,17.667,26.099,21.063,21.307,12.931,8.212,5.83,7.32,9.361,3.895,9.694,7.801,-0.112,2.926,6.639,7.788,4.258,28.841
10.188,4.168,15.819,18.514,19.186,30.684,25.141,20.774,13.943,11.277,8.386,11.412,10.889,5.428,14.295,14.453,5.524,6.509,10.218,12.903,12.963,40.083
11.203,5.188,16.828,21.057,23.778,26.042,21.529,16.654,9.318,7.167,7.353,8.839,10.366,-1.237,10.695,11.364,4.493,10.089,17.38,11.865,12.95,43.116
7.093,6.208,16.811,20.011,21.192,20.381,18.434,15.613,8.284,5.623,2.222,3.194,4.72,-5.847,2.999,1.619,-7.806,5.98,14.289,2.632,2.178,41.024
2.475,2.103,14.233,14.868,13.999,21.385,16.879,16.622,7.252,2.032,-0.854,0.63,-0.92,-3.792,-0.59,-3.505,-18.045,-8.882,6.078,-4.031,-4.484,36.884
-1.626,-6.608,7.046,8.705,11.423,16.753,11.739,12.507,3.146,-8.729,-3.927,-3.469,-6.042,-7.886,-3.151,-4.527,-18.539,-13.997,3.51,-4.027,-1.406,29.163
-0.087,-6.089,6.527,9.209,11.924,14.175,9.678,9.933,6.217,-6.671,-3.923,-2.954,-5.012,-11.465,0.439,0.601,-9.811,1.899,4.019,2.125,2.694,30.158
9.134,5.7,16.766,19.446,19.085,28.505,19.402,19.145,14.407,10.242,6.84,9.857,7.801,-1.207,13.246,11.359,1.982,15.217,11.7,12.369,8.839,38.837
3.619,-0.889,11.318,14.062,16.106,22.495,17.001,17.399,8.773,2.821,2.034,3.787,3.233,-3.864,5.603,4.251,-6.098,0.758,7.691,4.82,4.619,33.469
3.616,-0.888,11.307,14.048,16.09,22.472,16.984,17.382,8.765,2.818,2.032,3.784,3.23,-3.86,5.598,4.246,-6.092,0.757,7.683,4.815,4.615,33.436
3.612,-0.887,11.296,14.034,16.074,22.45,16.967,17.365,8.756,2.815,2.03,3.78,3.227,-3.856,5.592,4.242,-6.085,0.757,7.676,4.81,4.61,33.402
3.609,-0.887,11.284,14.02,16.058,22.427,16.95,17.347,8.747,2.812,2.028,3.776,3.223,-3.852,5.587,4.238,-6.079,0.756,7.668,4.805,4.606,33.369
3.605,-0.886,11.273,14.006,16.042,22.405,16.933,17.33,8.738,2.809,2.026,3.772,3.22,-3.848,5.581,4.234,-6.073,0.755,7.66,4.801,4.601,33.335
3.601,-0.885,11.262,13.992,16.026,22.382,16.916,17.313,8.73,2.806,2.024,3.768,3.217,-3.844,5.575,4.229,-6.067,0.754,7.653,4.796,4.596,33.302
3.598,-0.884,11.251,13.978,16.01,22.36,16.9,17.295,8.721,2.804,2.022,3.765,3.214,-3.84,5.57,4.225,-6.061,0.754,7.645,4.791,4.592,33.269
3.594,-0.883,11.239,13.964,15.994,22.338,16.883,17.278,8.712,2.801,2.02,3.761,3.211,-3.837,5.564,4.221,-6.055,0.753,7.637,4.786,4.587,33.235
-3.043,-14.36,-1.494,3.96,8.964,15.421,9.993,9.058,6.669,2.181,-2.465,1.168,0.097,-6.964,2.334,2.317,-8.776,-9.565,0.115,1.822,1.314,28.253
4.645,-4.1,9.779,10.616,17.664,22.066,13.57,15.197,8.711,3.203,5.222,7.315,9.319,-3.371,10.528,7.437,1.479,3.765,8.824,10.017,6.436,37.446
9.763,4.614,20.015,16.753,19.696,24.605,19.704,17.743,16.899,6.786,7.778,14.992,14.945,4.83,19.227,16.139,6.6,19.643,21.111,19.229,17.7,45.605
10.266,5.634,18.97,19.298,20.188,26.117,21.221,17.213,18.932,13.439,10.844,14.977,15.955,9.948,22.282,16.123,5.057,20.135,23.139,19.722,17.682,43.511
6.67,4.091,13.316,16.717,17.607,25.579,18.638,19.245,12.765,8.303,8.784,8.302,11.328,3.278,10.476,5.348,-3.657,1.16,12.357,7.407,6.394,36.295
0.515,1.013,9.717,13.114,12.978,22.48,18.619,19.226,9.678,-0.415,-0.958,0.097,0.558,-6.459,-2.342,-2.342,-16.974,-14.21,2.611,-3.871,-2.322,32.672
-4.608,-3.086,8.17,10.027,12.453,17.846,17.576,15.108,7.107,-1.951,-3.519,-5.539,-4.566,-7.99,-1.315,-5.413,-19.006,-6.512,2.096,-3.868,-4.369,28.029
-6.141,-5.133,4.576,5.918,9.879,16.292,12.948,12.532,1.977,-5.535,-4.028,-6.558,-5.073,-10.543,-0.801,-7.969,-11.815,1.692,2.607,-2.327,-4.877,22.878
-6.647,-8.714,2.009,5.912,6.283,16.788,10.886,13.544,-1.611,-8.604,-10.684,-7.063,-10.704,-15.144,-6.436,-5.4,-10.778,-8.044,-2.007,-6.423,-4.872,22.855
-3.566,-8.705,6.618,10.517,11.4,16.771,12.412,17.629,-0.073,-3.984,-7.599,-5.007,-9.668,-11.542,-3.868,-0.784,-10.767,-8.548,-0.98,-3.855,0.768,25.906
5.146,0.013,12.759,16.142,18.048,21.877,14.449,20.685,5.563,-0.394,2.142,1.658,1.1,-4.358,4.845,2.803,-3.072,5.293,8.755,5.883,7.428,29.978
11.801,6.161,17.357,21.761,20.592,30.052,20.07,21.177,9.656,5.242,4.189,6.779,4.685,-2.817,7.402,9.461,1.029,7.337,12.844,8.951,8.445,35.071
13.326,6.155,19.901,24.301,24.67,29.51,25.173,22.18,11.695,11.384,7.259,9.846,6.729,-1.79,8.419,13.55,-3.07,0.669,9.245,8.429,7.412,38.623
13.313,6.148,16.295,20.691,23.621,26.406,20.537,20.621,13.733,10.348,12.375,11.886,10.821,0.261,7.386,7.901,-9.727,-1.38,6.675,5.86,6.892,36.022
3.619,-0.889,11.318,14.062,16.106,22.495,17.001,17.399,8.773,2.821,2.034,3.787,3.233,-3.864,5.603,4.251,-6.098,0.758,7.691,4.82,4.619,33.469
3.616,-0.888,11.307,14.048,16.09,22.472,16.984,17.382,8.765,2.818,2.032,3.784,3.23,-3.86,5.598,4.246,-6.092,0.757,7.683,4.815,4.615,33.436
3.612,-0.887,11.296,14.034,16.074,22.45,16.967,17.365,8.756,2.815,2.03,3.78,3.227,-3.856,5.592,4.242,-6.085,0.757,7.676,4.81,4.61,33.402
3.609,-0.887,11.284,14.02,16.058,22.427,16.95,17.347,8.747,2.812,2.028,3.776,3.223,-3.852,5.587,4.238,-6.079,0.756,7.668,4.805,4.606,33.369
3.605,-0.886,11.273,14.006,16.042,22.405,16.933,17.33,8.738,2.809,2.026,3.772,3.22,-3.848,5.581,4.234,-6.073,0.755,7.66,4.801,4.601,33.335
3.601,-0.885,11.262,13.992,16.026,22.382,16.916,17.313,8.73,2.806,2.024,3.768,3.217,-3.844,5.575,4.229,-6.067,0.754,7.653,4.796,4.596,33.302
3.598,-0.884,11.251,13.978,16.01,22.36,16.9,17.295,8.721,2.804,2.022,3.765,3.214,-3.84,5.57,4.225,-6.061,0.754,7.645,4.791,4.592,33.269
3.594,-0.883,11.239,13.964,15.994,22.338,16.883,17.278,8.712,2.801,2.02,3.761,3.211,-3.837,5.564,4.221,-6.055,0.753,7.637,4.786,4.587,33.235
-1.48,1.296,13.52,14.345,16.129,23.509,18.81,18.221,2.085,-3.167,-3.253,-2.128,-6.364,-16.256,-5.561,-4.453,-16.335,-2.211,6.065,-0.774,-1.588,32.626
