0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.491,1.182,-6.277,-1.574,1.714,0.154,-2.305,0.4,-0.425,0.322,-0.308,-1.605,0.654,-0.556,1.777,1.344,2.952,-3.741,1.009,0.696,-1.581,1.973
-2.071,1.693,0.389,-3.109,2.737,3.227,1.796,-0.113,1.112,0.321,0.717,-0.066,1.678,-0.556,1.776,0.318,0.9,0.362,2.545,-1.354,0.47,-0.59
1.517,0.154,1.413,-1.057,0.173,0.662,1.282,0.912,3.16,0.321,0.204,0.446,1.164,0.982,-0.788,-1.731,-1.15,3.947,-1.043,-0.328,1.494,1.972
2.028,-2.92,-1.15,-1.056,-0.34,-4.974,-2.306,2.448,0.083,3.395,-0.821,-1.603,-0.375,2.005,-0.787,0.832,-1.661,0.357,-0.53,1.209,0.98,2.482
-1.048,-1.38,1.413,-3.104,-2.389,-2.407,-1.791,-0.116,-2.991,0.317,-0.82,-0.577,-0.374,1.491,-0.274,-0.193,0.39,-0.668,2.032,-1.866,1.492,-3.156
1.515,1.183,2.436,-2.589,-1.362,1.182,-0.765,-0.629,1.111,-1.22,0.205,0.96,-1.911,-1.072,-0.274,-0.193,2.438,2.407,-1.044,-0.327,0.465,-3.665
2.026,-1.38,-2.689,-2.074,3.25,-2.406,-0.252,1.934,1.622,5.954,-0.82,0.447,-0.884,-3.633,0.751,3.905,1.924,1.892,-3.604,1.722,1.49,-0.075
-1.05,-2.915,-3.199,-2.072,0.686,-3.94,-0.764,1.932,-1.966,4.411,-3.381,-0.066,0.141,-0.555,-0.274,0.828,1.922,1.89,-1.039,-4.427,2.513,-1.612
-0.025,-0.863,-0.122,0.492,-2.901,0.162,-1.275,0.905,0.085,-3.278,-1.328,-1.602,-1.908,-0.042,-0.274,-2.247,2.432,1.888,-1.038,-4.423,0.461,-2.635
1.0,-1.374,-2.171,2.028,-0.337,0.162,-0.762,1.929,0.598,0.311,3.796,-4.162,-3.443,-1.579,1.776,-0.708,0.893,-0.675,-1.037,4.291,-1.076,-0.071
0.487,-0.861,-2.169,1.002,0.176,-2.4,-0.761,-0.122,-0.428,3.385,2.256,-1.084,-3.952,3.033,1.774,-4.293,0.892,0.35,1.526,3.262,-1.075,0.954
3.56,1.702,0.907,-0.536,-0.849,-1.885,-2.809,-1.659,1.622,-0.717,-1.845,2.503,-3.436,4.055,0.235,-3.777,1.403,3.424,2.549,-1.864,-1.074,0.441
3.044,-0.349,0.906,-1.048,1.201,-1.883,-0.757,-0.12,1.108,0.82,-0.306,0.451,-0.358,-1.072,-0.79,2.375,-0.135,-0.678,2.034,0.187,-1.586,-0.072
0.48,-1.373,0.393,-1.047,-1.362,-2.394,2.317,-1.145,-0.942,2.869,2.256,0.963,0.154,-0.559,0.236,1.86,-0.135,-2.214,0.495,0.699,-0.047,-0.584
0.992,-0.347,2.442,-1.046,-4.434,0.17,0.778,-2.168,0.596,-0.208,1.741,2.499,-1.383,-1.071,2.285,-1.216,1.914,0.349,1.007,-2.376,0.978,-0.584
1.503,0.165,0.902,-0.533,0.181,0.682,-1.784,-0.629,-1.967,0.305,1.227,-0.577,-0.357,-3.631,0.233,1.347,1.4,-1.7,3.567,-1.861,-0.048,-1.608
2.526,0.677,-1.66,-0.02,3.255,-1.367,-1.27,-0.116,-1.452,2.866,0.713,-1.089,0.156,0.471,-1.816,1.346,-0.138,-1.699,3.564,0.702,-0.56,-2.119
4.573,-0.348,-0.121,-0.02,0.178,-1.878,-2.294,-1.141,2.135,0.814,0.2,0.961,-0.357,2.52,3.309,-1.729,1.911,2.402,0.998,0.702,2.514,1.47
2.519,-2.909,0.903,-0.532,-0.847,0.173,-1.267,-0.627,-1.453,-0.212,1.225,0.448,0.668,-1.069,3.305,0.322,0.372,-0.675,-1.052,-1.861,3.536,2.493
-0.558,-1.882,-1.659,-0.019,1.203,1.197,1.808,-1.139,-3.501,0.813,2.761,0.447,-1.382,1.494,-3.358,3.907,-3.214,-3.236,-1.563,-1.347,-0.053,-2.12
2.005,-1.88,-1.657,-0.531,-0.847,-0.341,0.782,-3.187,1.626,0.812,0.196,-0.065,-1.38,4.566,-1.305,1.854,-2.186,0.866,-0.025,2.241,-2.103,-1.606
4.052,-4.952,0.393,-1.043,-2.384,-2.902,-1.268,-3.184,-0.937,0.299,-2.365,-3.139,1.695,1.488,4.331,-0.197,1.402,1.89,2.537,1.726,-0.051,1.47
